Code;Description;Detailed English Description;Detailed French Description
A;APPROVISIONNEMENTS GENERAUX;General supply and logistics;Fournitures générales et logistique (matériels, services ou consommables)
AA;ALIMENTATION - RESTAURATION - HOTELLERIE;Food, catering, and hospitality supplies;Produits et services pour l'alimentation, la restauration et l'hôtellerie
AA.0;PRODUITS ALIMENTAIRES CONGELES;Frozen food items, including meats, vegetables, and prepared meals;Produits alimentaires surgelés : viandes, légumes, plats préparés
AA.01;PAINS, PATISSERIES, VIENNOISERIES CONGELES;Frozen bread, pastries, and baked goods (e.g. croissants, baguettes, cakes);Produits de boulangerie et pâtisserie surgelés (croissants, baguettes, gâteaux)
AA.02;PRODUITS CARNES CONGELES;Frozen meat products (e.g. beef, pork, poultry cuts);Viandes surgelées (bœuf, porc, volaille, morceaux préparés)
AA.03;PRODUITS DE LA MER OU D'EAU DOUCE CONGELES;Frozen seafood and freshwater fish (e.g. shrimp, cod, salmon);Poissons et fruits de mer surgelés (crevettes, cabillaud, saumon)
AA.04;FRUITS ET LEGUMES CONGELES;Frozen fruits and vegetables (e.g. peas, berries, spinach);Fruits et légumes surgelés (petits pois, fruits rouges, épinards)
AA.05;PREPARATIONS ALIMENTAIRES ET PLATS CUISINES CONGELES;Frozen ready-made meals and food preparations (e.g. lasagna, quiches);Plats cuisinés surgelés (lasagnes, quiches, gratins)
AA.1 ;PRODUITS ALIMENTAIRES FRAIS;Fresh food items, perishable and refrigerated;Produits alimentaires frais, périssables ou réfrigérés
AA.11;PAINS, PATISSERIES, VIENNOISERIES FRAIS;Fresh bread, pastries, and baked goods (e.g. croissants, tarts);Produits de boulangerie et pâtisserie frais (croissants, tartes, pains)
AA.12;VIANDES FRAICHES - REFRIGEREES;Fresh or chilled meats (e.g. steak, chicken fillets);Viandes fraîches ou réfrigérées (steaks, filets de poulet)
AA.13;PRODUITS DE LA MER OU D'EAU DOUCE FRAIS;Fresh seafood and freshwater fish (e.g. trout, mussels);Poissons et fruits de mer frais (truite, moules, huîtres)
AA.14;FRUITS ET LEGUMES FRAIS OU REFRIGERES;Fresh or chilled fruits and vegetables (e.g. apples, lettuce);Fruits et légumes frais ou réfrigérés (pommes, salades)
AA.15;ŒUFS ET PRODUITS LAITIERS;Eggs and dairy products (e.g. milk, cheese, yogurt);Œufs et produits laitiers (lait, fromages, yaourts)
